Accession,Functional_category,TR08_B05,TR09_B05,TR10_B05,TR11_B05,TR12_B05,TR13_B05,TR14_B05,TR15_B05
BB163_AFKMEEHG_02209,Transporter,0.041701,0.196205,0.290882,0.1571,0.209676,0.065578,0.120389,0
BB163_AFKMEEHG_00550,Transporter,0.049056,0.017097,0.084307,0.188661,0.160329,0.27693,0.051929,0.039732
BB163_AFKMEEHG_00552,Transporter,0,0.006109,0.035438,0.14857,0.146883,0.079156,0.060721,0
BB163_AFKMEEHG_01038,Transporter,0.063592,0.072307,0.057858,0.089838,0.127098,0.083079,0.088122,0.088073
BB163_AFKMEEHG_02189,Transporter,0.06888,0.084879,0.071622,0.135538,0.107611,0.082132,0.076701,0.050209
BB163_AFKMEEHG_00388,Transporter,0.040107,0.060482,0.058946,0.061019,0.102381,0.087329,0.08016,0.062968
BB163_AFKMEEHG_00270,Transporter,0.058526,0.073942,0.068041,0.062012,0.100544,0.094397,0.109827,0.061623
BB163_AFKMEEHG_00995,Transporter,0.042013,0.057655,0.054949,0.083466,0.093081,0.104821,0.088694,0.042109
BB163_AFKMEEHG_01722,Transporter,0.056483,0.070868,0.041112,0.067827,0.089461,0.077892,0.092947,0.024704
BB163_AFKMEEHG_00795,Transporter,0.065029,0.127486,1.750331,0.646914,1.47138,0.542784,1.638011,0.845338
BB163_AFKMEEHG_02052,Transporter,0.019996,0.458643,0.827772,0.663843,0.656023,0.264861,0.342031,0.058302
BB163_AFKMEEHG_01049,Transporter,0,0.023333,0.924961,0.29425,0.624621,0.154772,0.554063,0.166285
BB163_AFKMEEHG_01428,Transporter,0.319531,0.309211,0.389689,0.288136,0.399948,0.330605,0.382729,0.4361
BB163_AFKMEEHG_02193,Transporter,0.009032,0.127486,0.180785,0.153116,0.190734,0.150773,0.140803,0.460854
BB163_AFKMEEHG_00549,Transporter,0.122859,0.163364,0.857803,1.969616,2.139281,2.285506,1.024746,0.447781
BB163_AFKMEEHG_00098,Transporter,0.149568,0.293218,0.404244,0.470764,0.66854,0.531609,0.398142,0.61567
BB163_AFKMEEHG_00744,Transporter,0.204848,0.303173,0.409506,0.442246,0.626699,0.559117,0.294861,0.231341
BB163_AFKMEEHG_00746,Transporter,0.158032,0.247849,0.377735,0.346238,0.519181,0.474352,0.285338,0.230389
BB163_AFKMEEHG_02212,Transporter,0.018634,0.077932,0.107374,0.092137,0.140539,0.058606,0.059175,0
